datetime,open,high,low,close,volume,symbol
2025-05-27 09:00:00.795257,1.25,1.2512,1.24929,1.25049,627,GBPUSD
2025-05-27 09:00:02.559849,150.0,150.00045,149.99938,149.99983,598,USDJPY
2025-05-27 09:00:05.669136,50000.0,50000.00293,49999.99807,50000.001,616,BTCUSD
2025-05-27 09:00:59.307021,1.1,1.10092,1.09938,1.10029,630,EURUSD
2025-05-27 09:01:00.795257,1.25049,1.25078,1.25014,1.25043,736,GBPUSD
2025-05-27 09:01:02.559849,149.99983,150.00045,149.99914,149.99975,441,USDJPY
2025-05-27 09:01:05.669136,50000.001,50000.00263,49999.99998,50000.00161,349,BTCUSD
2025-05-27 09:01:59.307021,1.10029,1.10149,1.09845,1.09965,727,EURUSD
2025-05-27 09:02:00.795257,1.25043,1.25075,1.25013,1.25045,798,GBPUSD
2025-05-27 09:02:02.559849,149.99975,150.00089,149.99891,150.00005,421,USDJPY
2025-05-27 09:02:05.669136,50000.00161,50000.00341,50000.00064,50000.00244,588,BTCUSD
2025-05-27 09:02:59.307021,1.09965,1.10148,1.0985,1.10033,363,EURUSD
2025-05-27 09:03:00.795257,1.25045,1.25085,1.24999,1.25039,781,GBPUSD
2025-05-27 09:03:02.559849,150.00005,150.00042,149.99998,150.00035,722,USDJPY
2025-05-27 09:03:05.669136,50000.00244,50000.00274,50000.00206,50000.00236,580,BTCUSD
2025-05-27 09:03:59.307021,1.10033,1.10135,1.09855,1.09957,439,EURUSD
2025-05-27 09:04:00.795257,1.25039,1.25137,1.24962,1.2506,344,GBPUSD
2025-05-27 09:04:02.559849,150.00035,150.00088,149.99988,150.00042,634,USDJPY
2025-05-27 09:04:05.669136,50000.00236,50000.00413,50000.0012,50000.00296,395,BTCUSD
2025-05-27 09:04:59.307021,1.09957,1.09965,1.0993,1.09938,480,EURUSD
2025-05-27 09:05:00.795257,1.2506,1.25127,1.24952,1.2502,792,GBPUSD
2025-05-27 09:05:02.559849,150.00042,150.00131,149.99904,149.99993,361,USDJPY
2025-05-27 09:05:05.669136,50000.00296,50000.0053,50000.0015,50000.00385,595,BTCUSD
2025-05-27 09:05:59.307021,1.09938,1.09975,1.099,1.09937,305,EURUSD
2025-05-27 09:06:00.795257,1.2502,1.25193,1.24898,1.2507,736,GBPUSD
2025-05-27 09:06:02.559849,149.99993,150.00139,149.99921,150.00067,481,USDJPY
2025-05-27 09:06:05.669136,50000.00385,50000.00537,50000.00293,50000.00445,729,BTCUSD
2025-05-27 09:06:59.307021,1.09937,1.10044,1.0977,1.09878,737,EURUSD
2025-05-27 09:07:00.795257,1.2507,1.25083,1.25051,1.25064,345,GBPUSD
2025-05-27 09:07:02.559849,150.00067,150.00078,150.00058,150.00069,777,USDJPY
2025-05-27 09:07:05.669136,50000.00445,50000.00566,50000.00355,50000.00475,427,BTCUSD
2025-05-27 09:07:59.307021,1.09878,1.09911,1.09836,1.09869,484,EURUSD
2025-05-27 09:08:00.795257,1.25064,1.25107,1.25028,1.25071,391,GBPUSD
2025-05-27 09:08:02.559849,150.00069,150.00134,150.00028,150.00093,314,USDJPY
2025-05-27 09:08:05.669136,50000.00475,50000.00787,50000.0028,50000.00592,379,BTCUSD
2025-05-27 09:08:59.307021,1.09869,1.09915,1.09825,1.09871,772,EURUSD
2025-05-27 09:09:00.795257,1.25071,1.2509,1.25055,1.25074,558,GBPUSD
2025-05-27 09:09:02.559849,150.00093,150.00148,150.00071,150.00126,796,USDJPY
2025-05-27 09:09:05.669136,50000.00592,50000.00623,50000.00574,50000.00605,722,BTCUSD
2025-05-27 09:09:59.307021,1.09871,1.1001,1.09634,1.09772,617,EURUSD
2025-05-27 09:10:00.795257,1.25074,1.25242,1.24811,1.24979,537,GBPUSD
2025-05-27 09:10:02.559849,150.00126,150.00339,149.99979,150.00192,541,USDJPY
2025-05-27 09:10:05.669136,50000.00605,50000.0062,50000.00586,50000.006,603,BTCUSD
2025-05-27 09:10:59.307021,1.09772,1.09948,1.09672,1.09847,736,EURUSD
2025-05-27 09:11:00.795257,1.24979,1.25122,1.24899,1.25042,668,GBPUSD
2025-05-27 09:11:02.559849,150.00192,150.00358,149.99917,150.00083,635,USDJPY
2025-05-27 09:11:05.669136,50000.006,50000.00716,50000.00419,50000.00534,341,BTCUSD
2025-05-27 09:11:59.307021,1.09847,1.09984,1.0978,1.09916,665,EURUSD
2025-05-27 09:12:00.795257,1.25042,1.25057,1.2501,1.25025,395,GBPUSD
2025-05-27 09:12:02.559849,150.00083,150.00179,149.99944,150.0004,371,USDJPY
2025-05-27 09:12:05.669136,50000.00534,50000.00707,50000.00419,50000.00591,768,BTCUSD
2025-05-27 09:12:59.307021,1.09916,1.09928,1.09898,1.0991,617,EURUSD
2025-05-27 09:13:00.795257,1.25025,1.25101,1.24946,1.25022,554,GBPUSD
2025-05-27 09:13:02.559849,150.0004,150.00095,149.99991,150.00047,565,USDJPY
2025-05-27 09:13:05.669136,50000.00591,50000.00723,50000.00402,50000.00534,623,BTCUSD
2025-05-27 09:13:59.307021,1.0991,1.09972,1.09842,1.09904,537,EURUSD
2025-05-27 09:14:00.795257,1.25022,1.25116,1.2487,1.24965,316,GBPUSD
2025-05-27 09:14:02.559849,150.00047,150.00135,149.99909,149.99996,463,USDJPY
2025-05-27 09:14:05.669136,50000.00534,50000.0057,50000.0049,50000.00526,562,BTCUSD
2025-05-27 09:14:59.307021,1.09904,1.09905,1.09901,1.09902,609,EURUSD
2025-05-27 09:15:00.795257,1.24965,1.25011,1.24901,1.24948,433,GBPUSD
2025-05-27 09:15:02.559849,149.99996,150.00025,149.99994,150.00022,550,USDJPY
2025-05-27 09:15:05.669136,50000.00526,50000.00717,50000.00444,50000.00635,786,BTCUSD
2025-05-27 09:15:59.307021,1.09902,1.09932,1.09876,1.09907,565,EURUSD
2025-05-27 09:16:00.795257,1.24948,1.25119,1.24838,1.25009,742,GBPUSD
2025-05-27 09:16:02.559849,150.00022,150.0018,149.99803,149.99961,517,USDJPY
2025-05-27 09:16:05.669136,50000.00635,50000.00655,50000.00631,50000.00651,300,BTCUSD
2025-05-27 09:16:59.307021,1.09907,1.09983,1.09778,1.09855,423,EURUSD
2025-05-27 09:17:00.795257,1.25009,1.25036,1.24993,1.2502,489,GBPUSD
2025-05-27 09:17:02.559849,149.99961,150.00054,149.99891,149.99985,637,USDJPY
2025-05-27 09:17:05.669136,50000.00651,50000.00675,50000.00612,50000.00637,455,BTCUSD
2025-05-27 09:17:59.307021,1.09855,1.09899,1.09778,1.09823,425,EURUSD
2025-05-27 09:18:00.795257,1.2502,1.25088,1.24928,1.24996,452,GBPUSD
2025-05-27 09:18:02.559849,149.99985,150.00045,149.99931,149.99991,636,USDJPY
2025-05-27 09:18:05.669136,50000.00637,50000.00776,50000.00543,50000.00682,743,BTCUSD
2025-05-27 09:18:59.307021,1.09823,1.09873,1.09718,1.09769,388,EURUSD
2025-05-27 09:19:00.795257,1.24996,1.25091,1.2488,1.24976,469,GBPUSD
2025-05-27 09:19:02.559849,149.99991,150.00135,149.99805,149.99949,580,USDJPY
2025-05-27 09:19:05.669136,50000.00682,50000.00836,50000.00577,50000.00732,722,BTCUSD
2025-05-27 09:19:59.307021,1.09769,1.09925,1.09512,1.09669,645,EURUSD
2025-05-27 09:20:00.795257,1.24976,1.25061,1.24908,1.24993,409,GBPUSD
2025-05-27 09:20:02.559849,149.99949,149.99995,149.99913,149.99959,728,USDJPY
2025-05-27 09:20:05.669136,50000.00732,50000.00856,50000.00544,50000.00669,778,BTCUSD
2025-05-27 09:20:59.307021,1.09669,1.09962,1.09467,1.0976,400,EURUSD
